date,Stock_Returns
1970-01-02,0.010211
1970-01-05,0.004946
1970-01-06,-0.006848
1970-01-07,-0.002047
1970-01-08,0.00054
1970-01-09,-0.003021
1970-01-12,-0.007576
1970-01-13,0.000981
1970-01-14,-0.001525
1970-01-15,0.000327
1970-01-16,-0.00829
1970-01-19,-0.013968
1970-01-20,0.002008
1970-01-21,0.000891
1970-01-22,0.000445
1970-01-23,-0.009783
1970-01-26,-0.010104
1970-01-27,-0.006238
1970-01-28,-0.009473
1970-01-29,-0.012674
1970-01-30,-0.007819
1970-02-02,0.008586
1970-02-03,0.011895
1970-02-04,-0.006108
1970-02-05,-0.003942
1970-02-06,0.005006
1970-02-09,0.007877
1970-02-10,-0.010459
1970-02-11,0.009756
1970-02-12,-0.002415
1970-02-13,-0.002191
1970-02-16,-0.000809
1970-02-17,-0.001156
1970-02-18,0.012389
1970-02-19,0.00366
1970-02-20,0.003077
1970-02-24,-0.000454
1970-02-25,0.015456
1970-02-26,-0.005036
1970-02-27,0.006749
1970-03-02,0.002346
1970-03-03,0.005796
1970-03-04,-0.002106
1970-03-05,-0.000444
1970-03-06,-0.006222
1970-03-09,-0.010398
1970-03-10,0.002712
1970-03-11,-0.000676
1970-03-12,-0.004059
1970-03-13,-0.005321
1970-03-16,-0.010813
1970-03-17,0.004372
1970-03-18,0.002864
1970-03-19,-0.001371
1970-03-20,-0.004118
1970-03-23,-0.000804
1970-03-24,0.011381
1970-03-25,0.020346
1970-03-26,0.001671
1970-03-30,-0.003225
1970-03-31,0.0
1970-04-01,0.004909
1970-04-02,-0.003109
1970-04-03,-0.004455
1970-04-06,-0.007048
1970-04-07,-0.002704
1970-04-08,-0.000339
1970-04-09,0.000452
1970-04-10,-0.003276
1970-04-13,-0.0068
1970-04-14,-0.008558
1970-04-15,-0.001841
1970-04-16,-0.009801
1970-04-17,-0.002445
1970-04-20,0.001868
1970-04-21,-0.005243
1970-04-22,-0.013001
1970-04-23,-0.014596
1970-04-24,-0.003251
1970-04-27,-0.015827
1970-04-28,-0.014608
1970-04-29,0.019185
1970-04-30,-0.003545
1970-05-01,-0.000981
1970-05-04,-0.025418
1970-05-05,-0.009701
1970-05-06,0.011069
1970-05-07,0.00453
1970-05-08,-0.004885
1970-05-11,-0.010574
1970-05-12,-0.009542
1970-05-13,-0.016956
1970-05-14,-0.014243
1970-05-15,0.019353
1970-05-18,0.00078
1970-05-19,-0.019491
1970-05-20,-0.025709
1970-05-21,-0.018498
1970-05-22,0.001247
1970-05-25,-0.027682
1970-05-26,-0.013666
1970-05-27,0.050224
1970-05-28,0.025285
1970-05-29,0.026002
1970-06-01,0.016852
1970-06-02,0.0
1970-06-03,0.008736
1970-06-04,-0.014773
1970-06-05,-0.015383
1970-06-08,0.001575
1970-06-09,-0.000524
1970-06-10,-0.010098
1970-06-11,-0.013646
1970-06-12,-0.003224
1970-06-15,0.002291
1970-06-16,0.023797
1970-06-17,-0.00197
1970-06-18,0.006711
1970-06-19,0.007058
1970-06-22,-0.005321
1970-06-23,-0.02453
1970-06-24,-0.010567
1970-06-25,0.000676
1970-06-26,-0.00743
1970-06-29,-0.007894
1970-06-30,-0.002332
1970-07-01,0.0044
1970-07-02,-0.001643
1970-07-06,-0.015634
1970-07-07,-0.007662
1970-07-08,0.024849
1970-07-09,0.014521
1970-07-10,0.006886
1970-07-13,-0.001207
1970-07-14,-0.000806
1970-07-15,0.010884
1970-07-16,0.014755
1970-07-17,0.017684
1970-07-20,0.000386
1970-07-21,-0.009521
1970-07-22,0.00065
1970-07-23,0.012593
1970-07-24,-0.002308
1970-07-27,-0.002185
1970-07-28,0.001545
1970-07-29,0.003472
1970-07-30,0.000384
1970-07-31,-0.000256
1970-08-03,-0.013197
1970-08-04,0.002207
1970-08-05,-0.00013
1970-08-06,-0.001296
1970-08-07,0.002595
1970-08-10,-0.013975
1970-08-11,-0.004987
1970-08-12,-0.005276
1970-08-13,-0.008751
1970-08-14,0.005618
1970-08-17,0.001995
1970-08-18,0.011549
1970-08-19,0.009974
1970-08-20,0.008836
1970-08-21,0.020608
1970-08-24,0.022085
1970-08-25,0.001605
1970-08-26,0.001109
1970-08-27,-0.001601
1970-08-28,0.00962
1970-08-31,-0.004153
1970-09-01,-0.006992
1970-09-02,0.000124
1970-09-03,0.013958
1970-09-04,0.009015
1970-09-08,0.002535
1970-09-09,-0.003011
1970-09-10,-0.005919
1970-09-11,0.002673
1970-09-14,-0.005453
1970-09-15,-0.008651
1970-09-16,0.005285
1970-09-17,0.006113
1970-09-18,0.00401
1970-09-21,-0.008594
1970-09-22,-0.003052
1970-09-23,0.014328
1970-09-24,0.013039
1970-09-25,0.000715
1970-09-28,-0.00131
1970-09-29,0.005247
1970-09-30,-0.001068
1970-10-01,0.001306
1970-10-02,0.009962
1970-10-05,0.015383
1970-10-06,0.004395
1970-10-07,0.000461
1970-10-08,-0.010818
1970-10-09,-0.010122
1970-10-12,-0.010696
1970-10-13,-0.001307
1970-10-14,0.001547
1970-10-15,0.005464
1970-10-16,-0.004371
1970-10-19,-0.013408
1970-10-20,0.005893
1970-10-21,0.000239
1970-10-22,-0.003347
1970-10-23,0.004677
1970-10-26,-0.005491
1970-10-27,-0.002281
1970-10-28,0.00373
1970-10-29,-0.000839
1970-10-30,-0.00132
1970-11-02,0.003123
1970-11-03,0.008502
1970-11-04,0.002019
1970-11-05,-0.003436
1970-11-06,0.001427
1970-11-09,0.005343
1970-11-10,0.001417
1970-11-11,0.002831
1970-11-12,-0.010349
1970-11-13,-0.009269
1970-11-16,-0.001559
1970-11-17,0.001201
1970-11-18,-0.006599
1970-11-19,0.001449
1970-11-20,0.00977
1970-11-23,0.006211
1970-11-24,0.00641
1970-11-25,0.003657
1970-11-27,0.009872
1970-11-30,0.01478
1970-12-01,0.003096
1970-12-02,0.011547
1970-12-03,0.004747
1970-12-04,0.006299
1970-12-07,0.005366
1970-12-08,-0.005226
1970-12-09,0.000782
1970-12-10,0.004244
1970-12-11,0.003781
1970-12-14,-0.005096
1970-12-15,-0.001559
1970-12-16,0.000669
1970-12-17,0.003567
1970-12-18,0.001999
1970-12-21,-0.003104
1970-12-22,0.001112
1970-12-23,0.000666
1970-12-24,0.00566
1970-12-28,0.005297
1970-12-29,0.010868
1970-12-30,0.002063
1970-12-31,-0.001301
1971-01-04,-0.010852
1971-01-05,0.007131
1971-01-06,0.005991
1971-01-07,0.000325
1971-01-08,-0.002057
1971-01-11,-0.002278
1971-01-12,0.008045
1971-01-13,-0.001726
1971-01-14,0.002593
1971-01-15,0.002478
1971-01-18,0.004085
1971-01-19,0.003747
1971-01-20,0.000213
1971-01-21,0.004372
1971-01-22,0.007326
1971-01-25,0.004216
1971-01-26,0.003254
1971-01-27,-0.007323
1971-01-28,0.003372
1971-01-29,0.007037
1971-02-01,0.005632
1971-02-02,0.000104
1971-02-03,0.002074
1971-02-04,-0.000103
1971-02-05,0.003208
1971-02-08,0.005365
1971-02-09,0.000616
1971-02-10,-0.001231
1971-02-11,0.005339
1971-02-12,0.005311
1971-02-16,0.002337
1971-02-17,-0.004662
1971-02-18,-0.006517
1971-02-19,-0.008405
1971-02-22,-0.010544
1971-02-23,0.003865
1971-02-24,0.00666
1971-02-25,0.001964
1971-02-26,-0.001754
1971-03-01,0.002584
1971-03-02,-0.000206
1971-03-03,-0.000309
1971-03-04,0.010005
1971-03-05,0.010621
1971-03-08,0.004244
1971-03-09,0.000805
1971-03-10,-0.001609
1971-03-11,0.000906
1971-03-12,0.001811
1971-03-15,0.011449
1971-03-16,0.004965
1971-03-17,-0.000889
1971-03-18,0.000692
1971-03-19,-0.001779
1971-03-22,-0.003861
1971-03-23,-0.003379
1971-03-24,-0.006582
1971-03-25,-0.0001
1971-03-26,0.003413
1971-03-29,0.0008
1971-03-30,0.002299
1971-03-31,0.000499
1971-04-01,0.000798
1971-04-02,0.001693
1971-04-05,0.002287
1971-04-06,0.007144
1971-04-07,0.00463
1971-04-08,0.001177
1971-04-12,0.00764
1971-04-13,0.000972
1971-04-14,0.003787
1971-04-15,0.001451
1971-04-16,-0.00029
1971-04-19,0.005025
1971-04-20,-0.003846
1971-04-21,-0.002413
1971-04-22,0.001935
1971-04-23,0.004732
1971-04-26,-0.001057
1971-04-27,0.004329
1971-04-28,0.00364
1971-04-29,-0.001336
1971-04-30,-0.006499
1971-05-03,-0.006349
1971-05-04,0.004841
1971-05-05,-9.6e-05
1971-05-06,-0.0053
1971-05-07,-0.003487
1971-05-10,-0.004958
1971-05-11,0.00254
1971-05-12,0.002729
1971-05-13,-0.002041
1971-05-14,-0.004674
1971-05-17,-0.014871
1971-05-18,0.00139
1971-05-19,0.00238
1971-05-20,0.002375
1971-05-21,-0.003159
1971-05-24,-0.008516
1971-05-25,-0.006591
1971-05-26,0.001206
1971-05-27,-0.001908
1971-05-28,0.002314
1971-06-01,0.005721
1971-06-02,0.007585
1971-06-03,0.000495
1971-06-04,0.002871
1971-06-07,-0.001579
1971-06-08,-0.008108
1971-06-09,-0.000299
1971-06-10,0.00349
1971-06-11,0.004273
1971-06-14,-0.00841
1971-06-15,0.000998
1971-06-16,0.001994
1971-06-17,-0.000199
1971-06-18,-0.015224
1971-06-21,-0.011115
1971-06-22,-0.002861
1971-06-23,0.008403
1971-06-24,-0.002439
1971-06-25,-0.001834
1971-06-28,-0.002551
1971-06-29,0.01105
1971-06-30,0.008905
1971-07-01,0.000802
1971-07-02,0.0
1971-07-06,-0.0002
1971-07-07,0.002807
1971-07-08,0.002999
1971-07-09,0.003488
1971-07-12,0.001291
1971-07-13,-0.013093
1971-07-14,-0.002814
1971-07-15,0.000605
1971-07-16,-0.001712
1971-07-19,-0.001816
1971-07-20,0.003942
1971-07-21,-0.000403
1971-07-22,-0.001712
1971-07-23,-0.001715
1971-07-26,-0.002729
1971-07-27,-0.00902
1971-07-28,-0.007261
1971-07-29,-0.010817
1971-07-30,-0.004582
1971-08-02,0.003976
1971-08-03,-0.015111
1971-08-04,-0.00656
1971-08-05,0.00213
1971-08-06,0.001701
1971-08-09,-0.007639
1971-08-10,0.000107
1971-08-11,0.011974
1971-08-12,0.014156
1971-08-13,-0.003229
1971-08-16,0.032083
1971-08-17,0.012454
1971-08-18,-0.013901
1971-08-19,-0.004462
1971-08-20,0.001732
1971-08-23,0.010272
1971-08-24,0.01067
1971-08-25,0.0001
1971-08-26,-0.001693
1971-08-27,0.002394
1971-08-30,-0.009554
1971-08-31,-0.004924
1971-09-01,0.000404
1971-09-02,0.002221
1971-09-03,0.0141
1971-09-07,0.004568
1971-09-08,0.001878
1971-09-09,-0.005329
1971-09-10,-0.00377
1971-09-13,-0.003485
1971-09-14,-0.007295
1971-09-15,0.004329
1971-09-16,-0.001103
1971-09-17,0.00301
1971-09-20,-0.002801
1971-09-21,-0.003411
1971-09-22,-0.008758
1971-09-23,-0.000914
1971-09-24,-0.002338
1971-09-27,-0.0054
1971-09-28,0.002663
1971-09-29,0.000204
1971-09-30,0.004494
1971-10-01,0.006
1971-10-04,0.00283
1971-10-05,-0.001008
1971-10-06,0.007164
1971-10-07,0.002004
1971-10-08,-0.006599
1971-10-11,-0.002013
1971-10-12,0.004135
1971-10-13,-0.005423
1971-10-14,-0.009088
1971-10-15,-0.003465
1971-10-18,-0.004499
1971-10-19,-0.003595
1971-10-20,-0.013918
1971-10-21,-0.000523
1971-10-22,-0.000941
1971-10-25,-0.004293
1971-10-26,-0.003785
1971-10-27,-0.010027
1971-10-28,0.001813
1971-10-29,0.002874
1971-11-01,-0.015176
1971-11-02,0.004095
1971-11-03,0.018566
1971-11-04,-0.001264
1971-11-05,-0.003481
1971-11-08,-0.000741
1971-11-09,0.000742
1971-11-10,-0.011116
1971-11-11,-0.01381
1971-11-12,0.0
1971-11-15,-0.003365
1971-11-16,0.009803
1971-11-17,0.00151
1971-11-18,-0.007754
1971-11-19,-0.005644
1971-11-22,-0.008951
1971-11-23,-0.006939
1971-11-24,0.001886
1971-11-26,0.017824
1971-11-29,0.015989
1971-11-30,0.006209
1971-12-01,0.016491
1971-12-02,0.00314
1971-12-03,0.01273
1971-12-06,-0.005667
1971-12-07,0.00373
1971-12-08,0.000516
1971-12-09,0.000413
1971-12-10,0.007529
1971-12-13,0.002866
1971-12-14,-0.003062
1971-12-15,0.008908
1971-12-16,0.012178
1971-12-17,0.005214
1971-12-20,0.012867
1971-12-21,0.002462
1971-12-22,-0.00609
1971-12-23,-0.004349
1971-12-27,0.002085
1971-12-28,0.009906
1971-12-29,0.00255
1971-12-30,-0.004207
1971-12-31,0.003046
1972-01-03,-0.004114
1972-01-04,0.004131
1972-01-05,0.009599
1972-01-06,0.004269
1972-01-07,-0.000386
1972-01-10,-0.00145
1972-01-11,0.003194
1972-01-12,-0.000579
1972-01-13,-0.005792
1972-01-14,0.003884
1972-01-17,0.002998
1972-01-18,0.003375
1972-01-19,-0.001634
1972-01-20,0.0
1972-01-21,-0.002214
1972-01-24,-0.01042
1972-01-25,0.002047
1972-01-26,-0.002724
1972-01-27,0.009756
1972-01-28,0.006377
1972-01-31,-0.002112
1972-02-01,0.000673
1972-02-02,0.006442
1972-02-03,-0.000382
1972-02-04,0.002102
1972-02-07,-0.003052
1972-02-08,0.001913
1972-02-09,0.007733
1972-02-10,0.000379
1972-02-11,-0.00483
1972-02-14,-0.004663
1972-02-15,0.004207
1972-02-16,0.005617
1972-02-17,-0.000284
1972-02-18,-0.002936
1972-02-22,9.5e-05
1972-02-23,0.000855
1972-02-24,0.000664
1972-02-25,0.006923
1972-02-28,9.4e-05
1972-02-29,0.003578
1972-03-01,0.007319
1972-03-02,-0.000279
1972-03-03,0.005777
1972-03-06,0.007689
1972-03-07,0.000919
1972-03-08,0.000827
1972-03-09,-0.000184
1972-03-10,-0.005232
1972-03-13,-0.009597
1972-03-14,0.002609
1972-03-15,0.001301
1972-03-16,-0.00232
1972-03-17,0.003907
1972-03-20,-0.003058
1972-03-21,-0.008365
1972-03-22,0.001406
1972-03-23,0.008517
1972-03-24,-0.002135
1972-03-27,-0.002046
1972-03-28,-0.001212
1972-03-29,-0.006345
1972-03-30,0.006667
1972-04-03,0.002612
1972-04-04,0.005955
1972-04-05,0.008139
1972-04-06,0.003853
1972-04-07,0.001828
1972-04-10,-0.001551
1972-04-11,0.002832
1972-04-12,0.003827
1972-04-13,-0.002451
1972-04-14,-0.000637
1972-04-17,-0.003004
1972-04-18,0.002374
1972-04-19,-0.005193
1972-04-20,-0.001465
1972-04-21,-0.001376
1972-04-24,-0.006429
1972-04-25,-0.00989
1972-04-26,-0.002147
1972-04-27,0.001497
1972-04-28,0.005792
1972-05-01,-0.009102
1972-05-02,-0.005718
1972-05-03,-0.000848
1972-05-04,0.002453
1972-05-05,0.003576
1972-05-08,-0.004595
1972-05-09,-0.01319
1972-05-10,0.006492
1972-05-11,0.00332
1972-05-12,0.005767
1972-05-15,0.004512
1972-05-16,-0.001872
1972-05-17,0.002156
1972-05-18,0.009823
1972-05-19,0.009635
1972-05-22,0.006515
1972-05-23,0.00082
1972-05-24,0.004828
1972-05-25,0.00136
1972-05-26,0.001811
1972-05-30,-0.002801
1972-05-31,-0.007431
1972-06-01,0.001461
1972-06-02,0.000365
1972-06-05,-0.008293
1972-06-06,-0.005606
1972-06-07,-0.005175
1972-06-08,-0.003437
1972-06-09,-0.003915
1972-06-12,0.001404
1972-06-13,0.005046
1972-06-14,0.00781
1972-06-15,0.000461
1972-06-16,-0.000738
1972-06-19,-0.002307
1972-06-20,0.004162
1972-06-21,0.002119
1972-06-22,-0.001011
1972-06-23,-0.003773
1972-06-26,-0.007297
1972-06-27,-0.001023
1972-06-28,-0.00326
1972-06-29,-0.001869
1972-06-30,0.002996
1972-07-03,0.003267
1972-07-05,0.005675
1972-07-06,0.008696
1972-07-07,-0.00321
1972-07-10,-0.005336
1972-07-11,-0.007307
1972-07-12,-0.004007
1972-07-13,-0.005707
1972-07-14,0.004893
1972-07-17,-0.008614
1972-07-18,-0.000472
1972-07-19,0.002929
1972-07-20,-0.003109
1972-07-21,0.008033
1972-07-24,0.011813
1972-07-25,-0.002965
1972-07-26,-0.000651
1972-07-27,-0.002325
1972-07-28,0.000932
1972-07-31,9.3e-05
1972-08-01,0.009405
1972-08-02,0.00821
1972-08-03,0.007777
1972-08-04,0.002633
1972-08-07,0.00163
1972-08-08,0.000723
1972-08-09,0.001536
1972-08-10,0.001714
1972-08-11,0.008104
1972-08-14,0.00536
1972-08-15,-0.004354
1972-08-16,-0.00357
1972-08-17,-0.002866
1972-08-18,0.003772
1972-08-21,-0.000358
1972-08-22,0.006176
1972-08-23,-0.001334
1972-08-24,-0.011046
1972-08-25,-0.003153
1972-08-28,-0.003976
1972-08-29,0.001633
1972-08-30,0.001449
1972-08-31,0.004703
1972-09-01,0.003781
1972-09-05,-0.002511
1972-09-06,-0.006113
1972-09-07,-0.002352
1972-09-08,-0.001269
1972-09-11,-0.00581
1972-09-12,-0.009497
1972-09-13,0.003964
1972-09-14,0.000275
1972-09-15,-0.001102
1972-09-18,-0.001838
1972-09-19,-0.000552
1972-09-20,0.000461
1972-09-21,-0.001565
1972-09-22,0.00083
1972-09-25,-0.004331
1972-09-26,0.001111
1972-09-27,0.013775
1972-09-28,0.006292
1972-09-29,0.001812
1972-10-02,-0.003528
1972-10-03,0.001271
1972-10-04,-0.001904
1972-10-05,-0.0109
1972-10-06,0.006704
1972-10-09,0.002554
1972-10-10,0.000819
1972-10-11,-0.004455
1972-10-12,-0.008219
1972-10-13,-0.006262
1972-10-16,-0.010656
1972-10-17,0.006837
1972-10-18,0.006419
1972-10-19,-0.001294
1972-10-20,0.011013
1972-10-23,0.010161
1972-10-24,0.004169
1972-10-25,-0.000812
1972-10-26,0.002439
1972-10-27,-0.003334
1972-10-30,-0.000271
1972-10-31,0.008952
1972-11-01,0.009769
1972-11-02,0.00497
1972-11-03,0.008743
1972-11-06,-0.002101
1972-11-08,-0.005527
1972-11-09,0.001323
1972-11-10,0.002026
1972-11-13,0.001495
1972-11-14,0.009219
1972-11-15,-0.003915
1972-11-16,0.005502
1972-11-17,0.003127
1972-11-20,0.000346
1972-11-21,0.005886
1972-11-22,0.005938
1972-11-24,0.003165
1972-11-27,-0.00469
1972-11-28,-0.002142
1972-11-29,0.000429
1972-11-30,0.001287
1972-12-01,0.006086
1972-12-04,0.003323
1972-12-05,-0.001613
1972-12-06,0.003657
1972-12-07,0.005
1972-12-08,0.002192
1972-12-11,0.002187
1972-12-12,-0.003862
1972-12-13,-0.000843
1972-12-14,-0.002699
1972-12-15,0.000169
1972-12-18,-0.0115
1972-12-19,-0.00479
1972-12-20,-0.003352
1972-12-21,-0.007245
1972-12-22,0.006255
1972-12-26,0.004058
1972-12-27,0.005417
1972-12-29,0.009578
1973-01-02,0.008895
1973-01-03,0.003946
1973-01-04,-0.001422
1973-01-05,0.003936
1973-01-08,-0.000167
1973-01-09,-0.001001
1973-01-10,-0.002506
1973-01-11,0.006782
1973-01-12,-0.007818
1973-01-15,-0.007209
1973-01-16,-0.002533
1973-01-17,0.004571
1973-01-18,0.001432
1973-01-19,-0.000589
1973-01-22,-0.004799
1973-01-23,8.5e-05
1973-01-24,-0.012604
1973-01-26,-0.002399
1973-01-29,-0.003778
1973-01-30,-0.001552
1973-01-31,0.001727
1973-02-01,-0.010945
1973-02-02,-0.003573
1973-02-05,-0.001049
1973-02-06,0.001926
1973-02-07,-0.006903
1973-02-08,-0.004399
1973-02-09,0.013432
1973-02-12,0.012034
1973-02-13,0.006204
1973-02-14,-0.014386
1973-02-15,-0.005647
1973-02-16,0.004631
1973-02-20,0.003653
1973-02-21,-0.006153
1973-02-22,-0.00218
1973-02-23,-0.011185
1973-02-26,-0.008572
1973-02-27,-0.011498
1973-02-28,0.007033
1973-03-01,-0.005641
1973-03-02,0.011076
1973-03-05,0.003563
1973-03-06,0.012602
1973-03-07,0.003067
1973-03-08,-0.001922
1973-03-09,-0.003852
1973-03-12,0.000615
1973-03-13,0.005445
1973-03-14,0.004368
1973-03-15,-0.00748
1973-03-16,-0.005082
1973-03-19,-0.012066
1973-03-20,-0.001961
1973-03-21,-0.013042
1973-03-22,-0.014934
1973-03-23,0.000368
1973-03-26,0.008817
1973-03-27,0.015659
1973-03-28,0.000538
1973-03-29,0.009765
1973-03-30,-0.010558
1973-04-02,-0.012016
1973-04-03,-0.008531
1973-04-04,-0.004302
1973-04-05,-0.002298
1973-04-06,0.007003
1973-04-09,0.014458
1973-04-10,0.012178
1973-04-11,0.004189
1973-04-12,-0.000887
1973-04-13,-0.004441
1973-04-16,-0.00571
1973-04-17,-0.004487
1973-04-18,0.005408
1973-04-19,0.005648
1973-04-23,-0.005349
1973-04-24,-0.014162
1973-04-25,-0.015001
1973-04-26,0.005077
1973-04-27,-0.015245
1973-04-30,-0.002425
1973-05-01,0.001215
1973-05-02,0.012418
1973-05-03,0.016508
1973-05-04,0.007077
1973-05-07,-0.004234
1973-05-08,0.006514
1973-05-09,-0.007281
1973-05-10,-0.008149
1973-05-11,-0.012507
1973-05-14,-0.020986
1973-05-15,0.006327
1973-05-16,-0.001314
1973-05-17,-0.008174
1973-05-18,-0.016105
1973-05-21,-0.01088
1973-05-22,0.008274
1973-05-23,0.004731
1973-05-24,0.029499
1973-05-25,0.007467
1973-05-29,-0.003984
1973-05-30,-0.014882
1973-05-31,-0.009064
1973-06-01,-0.009719
1973-06-04,-0.009237
1973-06-05,0.016024
1973-06-06,-0.002963
1973-06-07,0.014668
1973-06-08,0.011243
1973-06-11,-0.003083
1973-06-12,0.014902
1973-06-13,-0.006372
1973-06-14,-0.011152
1973-06-15,-0.012218
1973-06-18,-0.014272
1973-06-19,0.003764
1973-06-20,0.004327
1973-06-21,-0.011777
1973-06-22,0.004748
1973-06-25,-0.013983
1973-06-26,0.010269
1973-06-27,0.003098
1973-06-28,0.010326
1973-06-29,-0.004107
1973-07-02,-0.013044
1973-07-03,-0.01001
1973-07-05,-0.000883
1973-07-06,-0.004913
1973-07-09,0.008491
1973-07-10,0.013511
1973-07-11,0.022025
1973-07-12,-0.002836
1973-07-13,-0.013365
1973-07-16,0.015179
1973-07-17,0.000473
1973-07-18,0.005959
1973-07-19,0.001881
1973-07-20,0.005537
1973-07-23,0.003547
1973-07-24,0.005766
1973-07-25,0.013871
1973-07-26,0.001915
1973-07-27,-0.002367
1973-07-30,-0.003102
1973-07-31,-0.009428
1973-08-01,-0.012844
1973-08-02,-0.001498
1973-08-03,-0.001687
1973-08-06,0.002254
1973-08-07,-0.001687
1973-08-08,-0.009385
1973-08-09,0.000568
1973-08-10,-0.007954
1973-08-13,-0.010117
1973-08-14,-0.009642
1973-08-15,0.002921
1973-08-16,-0.00699
1973-08-17,0.000196
1973-08-20,-0.006842
1973-08-21,-0.007086
1973-08-22,-0.003568
1973-08-23,0.013727
1973-08-24,-0.002846
1973-08-27,0.007872
1973-08-28,0.005858
1973-08-29,0.009804
1973-08-30,-0.001442
1973-08-31,0.003562
1973-09-04,0.002494
1973-09-05,0.001244
1973-09-06,0.004874
1973-09-07,-0.003709
1973-09-10,-0.008687
1973-09-11,-0.006066
1973-09-12,-0.00155
1973-09-13,0.002911
1973-09-14,0.010449
1973-09-17,-0.002777
1973-09-18,-0.003649
1973-09-19,0.020333
1973-09-20,0.008311
1973-09-21,0.004121
1973-09-24,0.001493
1973-09-25,0.006427
1973-09-26,0.007219
1973-09-27,0.002297
1973-09-28,-0.005959
1973-10-01,-0.002029
1973-10-02,0.00536
1973-10-03,-9.2e-05
1973-10-04,-0.003401
1973-10-05,0.013283
1973-10-08,0.003459
1973-10-09,-0.000907
1973-10-10,-0.008263
1973-10-11,0.017121
1973-10-12,0.003151
1973-10-15,-0.012473
1973-10-16,0.001272
1973-10-17,-0.001997
1973-10-18,0.000364
1973-10-19,0.001909
1973-10-22,-0.009617
1973-10-23,0.005405
1973-10-24,0.004738
1973-10-25,0.002086
1973-10-26,0.007964
1973-10-29,-0.002065
1973-10-30,-0.016374
1973-10-31,-0.009512
1973-11-01,-0.005541
1973-11-02,-0.005757
1973-11-05,-0.014477
1973-11-06,-0.005307
1973-11-07,0.008003
