,,Return (Ann),Volatility,Sharpe,Sortino,Max DD
Goldilocks,Dynamic,0.12931832558139536,0.1435222507603334,0.6061336329180226,0.828968701759815,-0.31533038966456167
Goldilocks,60/40,0.10312702894056734,0.09350185802417836,0.650145031815959,0.9169180938102413,-0.17625714254016242
Goldilocks,Stocks,0.12931832558139536,0.1435222507603334,0.6061336329180226,0.828968701759815,-0.31533038966456167
Goldilocks,Bonds,0.06384008397932699,0.0754820395396685,0.2854372008229047,0.40004159032578274,-0.19294263455861216
Reflation,Dynamic,0.04748983469011207,0.029841564724736338,0.3069550225838603,0.3506008612915433,-0.006479153857528737
Reflation,60/40,0.015991403340012447,0.10919526855342392,-0.20427583910972402,-0.244927253348109,-0.2537190147691221
Reflation,Stocks,0.010945503006012026,0.17504127435422143,-0.15630072323838223,-0.18035970271603952,-0.35125560237692094
Reflation,Bonds,0.023560253841014313,0.07020554293487996,-0.2098060427367815,-0.2848826105539981,-0.17216933234451082
Stagflation,Dynamic,0.03227980966956339,0.04005030033010061,-0.36834350755252193,-0.08325625389279522,-0.09813557162176406
Stagflation,60/40,0.04809285131701234,0.09797012096796578,0.010895465234015512,0.015610272887915144,-0.32822357065632984
Stagflation,Stocks,0.03781179175704989,0.15682940684135696,-0.05874041641643051,-0.08137314768740678,-0.5041224429474578
Stagflation,Bonds,0.06351444065695618,0.06824848594193537,0.24183227587836617,0.3457167837743606,-0.116641404752453
Deflation,Dynamic,0.10150467236467113,0.08622460152127324,0.6839975459602602,0.9983337574898608,-0.15177808006265103
Deflation,60/40,0.1316872474074064,0.12395094941747735,0.7190833728993333,0.9609173958778147,-0.24814480626013435
Deflation,Stocks,0.1518089641025641,0.1999596581259629,0.5463062212141107,0.6933850460816781,-0.44807973323233247
Deflation,Bonds,0.10150467236467113,0.08622460152127324,0.6839975459602602,0.9983337574898608,-0.15177808006265103
